fold,seed,model,ichimoku,cost_multiplier,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,profit_factor,completed_trades,win_rate,fees,cvar_95_loss,bars,turnover_notional
0,42,xgboost,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,xgboost,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,lstm,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,lstm,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,lstm,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,cnn,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,cnn,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,cnn,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,transformer,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,transformer,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
0,42,transformer,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,random_forest,True,1.0,-0.0280048828294841,-0.4665243898292763,-7.893059331634216,-9.730855336317367,-0.0280048828294841,-16.65868029764117,0.21036520497068092,9,0.3333333333333333,97.2985085018108,0.005147858343193756,99,9.72985085018108
1,42,random_forest,True,2.0,-0.04038323275755629,-0.5982256106505639,-11.355062179882616,-12.794509204075364,-0.04038323275755629,-14.813712766435897,0.06056615554664555,9,0.2222222222222222,178.64363632305938,0.005623760354262486,99,8.93218181615297
1,42,random_forest,True,3.0,-0.049513692509376206,-0.6748110355183407,-14.081687153821782,-15.018780803458903,-0.049513692509376206,-13.628776229737955,0.018479510450520827,9,0.1111111111111111,247.99412266918938,0.005650318699281454,99,8.266470755639645
1,42,xgboost,True,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,xgboost,True,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,xgboost,True,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,lstm,True,1.0,-0.005564917538379621,-0.11613109569421559,-2.523209017703846,-3.5430129601683467,-0.01393324391531403,-8.334821122780738,0.24859618839724473,4,0.25,42.39883353009638,0.0023266199457356194,99,4.239883353009638
1,42,lstm,True,2.0,-0.011039060959455838,-0.217729950628086,-4.914084664525728,-6.300617271716339,-0.01795320344064133,-12.127637908630984,0.01327229750582971,4,0.25,78.36080385804328,0.002705627647358555,99,3.9180401929021644
1,42,lstm,True,3.0,-0.01573734398597626,-0.29594409935837096,-6.732350690009566,-8.043516304617599,-0.02141600158251966,-13.818830663513248,0.0,4,0.0,109.24233209245972,0.003215845578508514,99,3.6414110697486577
1,42,cnn,True,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,cnn,True,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,cnn,True,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,transformer,True,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,transformer,True,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,transformer,True,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,random_forest,False,1.0,-0.0015407931484776594,-0.03353529313518469,-0.756059311555088,-1.2095088913615735,-0.01046805821891994,-3.2035829791788024,0.8723745533577953,6,0.5,65.6877267975298,0.00209242536913945,99,6.568772679752982
1,42,random_forest,False,2.0,-0.01047152916255234,-0.20773890766435743,-5.30653032019579,-6.749097473523679,-0.017910066987434692,-11.599002271186505,0.38580236367859994,6,0.3333333333333333,120.94503804468414,0.002695931464037238,99,6.047251902234205
1,42,random_forest,False,3.0,-0.018089267487164773,-0.3322357185927831,-8.756053772105004,-9.789989537373486,-0.02426618712290074,-13.691302919165333,0.18755584870894665,6,0.16666666666666666,168.05993990053628,0.003214485647331311,99,5.601997996684542
1,42,xgboost,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,xgboost,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,xgboost,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,lstm,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,lstm,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,lstm,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,cnn,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,cnn,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,cnn,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,transformer,False,1.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,transformer,False,2.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
1,42,transformer,False,3.0,0.0,0.0,,,0.0,,,0,,0.0,-0.0,99,0.0
